Bearing,Condition,Model,gamma,MSE,MAE,Score,lambda,dropout_rate,num_models
Bearing1_4,100Hz4kN,PG-SNGP,0.5,0.0032090208775237185,0.04249708981222212,29.679413,,,
Bearing1_4,100Hz4kN,PG-SNGP,1.0,0.004468774821089249,0.054261392483708856,33.63085,,,
Bearing1_4,100Hz4kN,PG-SNGP,2.0,0.013493915251762247,0.10472157824250465,61.523144,,,
Bearing1_4,100Hz4kN,PG-SNER,,0.003237135803726765,0.050115356620371615,29.515364,0.2,,
Bearing1_4,100Hz4kN,PG-SNER,,0.002201974025662163,0.030161670349135212,19.92194,0.5,,
Bearing1_4,100Hz4kN,PG-SNER,,0.002302819843088071,0.02844531138705303,19.510544,1.0,,
Bearing1_4,100Hz4kN,PG-MC,,0.004153025538106168,0.03211785316024471,20.999031,,0.1,
Bearing1_4,100Hz4kN,PG-MC,,0.03761477382698515,0.11997892284607499,88.81628,,0.3,
Bearing1_4,100Hz4kN,PG-MC,,0.07613653733016999,0.2120838546963518,157.5795,,0.4,
Bearing1_4,100Hz4kN,PG-DE,,0.00149169414975162,0.02896480358071564,16.32265,,,10.0
Bearing1_4,100Hz4kN,PG-DE,,0.0022773943659295634,0.04002078484199918,22.55589,,,20.0
Bearing1_4,100Hz4kN,PG-DE,,0.0013081449698091065,0.025514888533268526,14.429693,,,30.0
