loss,data_loss,physics_loss
-3.492384433746338,-2.547330379486084,-0.9450539946556091
-4.1455078125,-2.6928036212921143,-1.4527041912078857
-3.6123337745666504,-2.6819581985473633,-0.9303756356239319
-4.538591384887695,-3.333372116088867,-1.2052192687988281
-3.7483692169189453,-2.75146222114563,-0.996907114982605
-3.9223952293395996,-2.752105712890625,-1.1702895164489746
-3.766505002975464,-2.802110195159912,-0.964394748210907
-4.116229057312012,-2.878471851348877,-1.2377573251724243
-4.415872573852539,-2.979259729385376,-1.4366127252578735
-4.4457221031188965,-3.320385217666626,-1.125336766242981
-3.37109375,-2.257906675338745,-1.1131869554519653
-3.972351551055908,-2.803528308868408,-1.1688232421875
-3.110398530960083,-1.8217477798461914,-1.2886507511138916
-3.595435619354248,-2.7916204929351807,-0.8038151264190674
-3.741781234741211,-2.7561254501342773,-0.9856558442115784
-4.158119201660156,-3.3306984901428223,-0.8274209499359131
-3.6497139930725098,-2.563693046569824,-1.086021065711975
-4.360501766204834,-3.2790284156799316,-1.0814733505249023
-4.656672477722168,-3.395145893096924,-1.2615267038345337
-3.5553765296936035,-2.413083791732788,-1.142292857170105
