loss,random_feature_gaussian_process_loss,random_feature_gaussian_process_1_loss,val_loss,val_random_feature_gaussian_process_loss,val_random_feature_gaussian_process_1_loss
154861.53125,2289.516357421875,152571.984375,9109.6669921875,3.1920199394226074,9106.474609375
154584.3125,2013.741943359375,152570.640625,15941.4482421875,0.5900298953056335,15940.8505859375
152575.359375,0.5048937201499939,152574.75,3803.61962890625,0.6353800296783447,3802.984375
152579.0625,0.5025162696838379,152578.53125,20978.7265625,0.5951977968215942,20978.13671875
152575.984375,0.502541184425354,152575.34375,79916.71875,0.583290159702301,79916.1796875
152574.484375,0.50119549036026,152574.0625,95255.7109375,0.5785356163978577,95255.1328125
152575.21875,0.5021088719367981,152574.71875,113417.8359375,0.6085051894187927,113417.3046875
152574.75,0.5008478164672852,152574.21875,12758.5400390625,0.5862254500389099,12757.9560546875
152572.75,0.5030128955841064,152572.125,14788.248046875,0.595905065536499,14787.642578125
152572.40625,0.5038936734199524,152571.921875,87472.390625,0.5871050357818604,87471.765625
152573.296875,0.5038274526596069,152572.734375,13196.251953125,0.6057460904121399,13195.646484375
152574.8125,0.5036948919296265,152574.375,9308.5126953125,0.5884008407592773,9307.9267578125
152574.453125,0.5028401613235474,152573.9375,23168.177734375,0.5757487416267395,23167.6015625
152574.46875,0.5022258162498474,152574.078125,14394.568359375,0.6012026071548462,14393.962890625
152574.765625,0.5105432271957397,152574.15625,15562.0751953125,0.6588292717933655,15561.4267578125
152575.625,0.5053520798683167,152575.1875,3541.14501953125,0.5626979470252991,3540.583740234375
152577.09375,0.5277516841888428,152576.546875,42378.55859375,0.5826500654220581,42377.97265625
152576.3125,0.5066725611686707,152575.859375,3877.48291015625,0.5886147618293762,3876.89404296875
152575.0625,0.5104724168777466,152574.453125,3256.08984375,0.5613057613372803,3255.530029296875
152574.25,0.5193038582801819,152573.78125,10072.30078125,0.6613311767578125,10071.640625
